Player,Points,Rebounds,Assists,Steals,Blocks,FG_Percentage,TS_Percentage,PER,Win_Shares
LeBron James,25.7,7.3,8.3,1.3,0.5,54.0,59.8,23.5,8.5
Stephen Curry,26.4,4.5,5.1,0.9,0.4,47.2,62.4,24.1,8.2
Kevin Durant,27.1,6.7,5.0,0.9,1.2,52.3,64.1,25.0,9.0
Nikola Jokic,26.4,12.4,9.0,1.4,0.8,58.3,65.2,31.5,12.0
Giannis Antetokounmpo,30.2,11.5,6.5,1.2,1.1,61.2,64.0,29.8,10.5
Luka Doncic,32.4,8.6,8.0,1.4,0.5,48.7,60.5,28.7,9.8
Jayson Tatum,27.0,8.1,4.9,1.0,0.6,47.1,60.1,23.8,8.9
Joel Embiid,30.6,11.7,4.2,1.1,1.7,54.8,64.5,29.2,10.2
Shai Gilgeous-Alexander,30.1,5.5,6.2,2.0,0.8,53.5,63.8,27.9,9.7
Anthony Davis,24.7,12.6,3.5,1.2,2.3,55.6,61.5,26.4,9.3
Damian Lillard,25.0,4.2,7.0,1.0,0.3,44.8,59.2,22.0,7.6
Kawhi Leonard,23.7,6.1,3.6,1.7,0.9,51.2,60.8,24.5,8.1
Jimmy Butler,20.8,5.3,5.0,1.3,0.3,49.9,61.0,23.1,7.9
Devin Booker,27.1,4.5,6.9,0.9,0.3,49.2,60.2,22.7,7.5
Anthony Edwards,25.9,5.4,5.1,1.3,0.6,46.1,58.7,21.9,7.2
