Player,Season,Games,Points,Rebounds,Assists,Steals,Blocks,FG_Percentage,TS_Percentage
Anthony Davis,2012-13,64,867,522,63,75,112,51.6,0
Anthony Davis,2013-14,67,1394,673,105,89,189,51.9,0
Anthony Davis,2014-15,68,1656,696,149,100,200,53.5,0
Anthony Davis,2015-16,61,1481,627,116,78,125,49.3,0
Anthony Davis,2016-17,75,2099,884,157,94,167,50.5,0
Anthony Davis,2017-18,75,2110,831,174,115,193,53.4,0
Anthony Davis,2018-19,56,1452,672,218,88,135,51.7,0
Anthony Davis,2019-20,62,1618,577,200,91,143,50.3,0
Anthony Davis,2020-21,36,786,286,110,45,59,49.1,0
Anthony Davis,2021-22,40,927,394,122,49,90,53.2,0
Anthony Davis,2022-23,56,1451,702,148,59,114,56.3,0
Anthony Davis,2023-24,76,1876,961,266,91,178,55.6,0
Anthony Davis,2024-25,42,1081,499,141,54,90,52.8,0
Anthony Davis,2025-26,20,407,221,56,22,33,50.6,0
Anthony Edwards,2020-21,72,1392,336,211,82,36,41.7,0
Anthony Edwards,2021-22,72,1533,343,275,105,46,44.1,0
Anthony Edwards,2022-23,79,1946,458,350,125,58,45.9,0
Anthony Edwards,2023-24,79,2049,430,405,101,42,46.1,0
Anthony Edwards,2024-25,79,2177,450,359,91,51,44.7,0
Anthony Edwards,2025-26,61,1757,302,226,83,49,48.9,0
Damian Lillard,2012-13,82,1562,257,531,74,19,42.9,0
Damian Lillard,2013-14,82,1695,288,457,64,22,42.4,0
Damian Lillard,2014-15,82,1720,378,507,97,21,43.4,0
Damian Lillard,2015-16,75,1879,302,512,65,28,41.9,0
Damian Lillard,2016-17,75,2024,368,440,68,20,44.4,0
Damian Lillard,2017-18,73,1962,325,481,77,27,43.9,0
Damian Lillard,2018-19,80,2067,371,551,88,34,44.4,0
Damian Lillard,2019-20,66,1978,284,530,70,22,46.3,0
Damian Lillard,2020-21,67,1928,283,505,62,17,45.1,0
Damian Lillard,2021-22,29,695,120,212,17,11,40.2,0
Damian Lillard,2022-23,58,1866,277,425,50,18,46.3,0
Damian Lillard,2023-24,73,1775,320,508,72,18,42.4,0
Damian Lillard,2024-25,58,1447,272,410,70,10,44.8,0
Devin Booker,2015-16,76,1048,187,200,44,20,42.3,0
Devin Booker,2016-17,78,1726,249,268,72,21,42.3,0
Devin Booker,2017-18,54,1346,244,253,47,14,43.2,0
Devin Booker,2018-19,64,1700,265,433,56,13,46.7,0
Devin Booker,2019-20,70,1863,297,456,49,18,48.9,0
Devin Booker,2020-21,67,1712,281,289,53,16,48.4,0
Devin Booker,2021-22,68,1822,342,329,77,26,46.6,0
Devin Booker,2022-23,53,1471,240,293,51,18,49.4,0
Devin Booker,2023-24,68,1841,308,472,61,28,49.2,0
Devin Booker,2024-25,75,1923,305,529,67,16,46.1,0
Devin Booker,2025-26,64,1668,248,386,51,18,45.6,0
Giannis Antetokounmpo,2013-14,77,525,339,150,60,61,41.4,0
Giannis Antetokounmpo,2014-15,81,1030,542,207,73,85,49.1,0
Giannis Antetokounmpo,2015-16,80,1350,612,345,94,113,50.6,0
Giannis Antetokounmpo,2016-17,80,1832,700,434,131,151,52.1,0
Giannis Antetokounmpo,2017-18,75,2014,753,361,109,106,52.9,0
Giannis Antetokounmpo,2018-19,72,1994,898,424,92,110,57.8,0
Giannis Antetokounmpo,2019-20,63,1857,856,354,61,66,55.3,0
Giannis Antetokounmpo,2020-21,61,1717,671,357,72,73,56.9,0
Giannis Antetokounmpo,2021-22,67,2002,778,388,72,91,55.3,0
Giannis Antetokounmpo,2022-23,63,1959,742,359,52,51,55.3,0
Giannis Antetokounmpo,2023-24,73,2222,841,476,87,79,61.1,0
Giannis Antetokounmpo,2024-25,67,2036,798,433,58,78,60.1,0
Giannis Antetokounmpo,2025-26,36,993,352,196,34,24,62.4,0
Jayson Tatum,2017-18,80,1112,402,128,83,58,47.5,0
Jayson Tatum,2018-19,79,1243,477,168,84,57,45.0,0
Jayson Tatum,2019-20,66,1547,460,200,93,57,45.0,0
Jayson Tatum,2020-21,64,1692,472,276,75,31,45.9,0
Jayson Tatum,2021-22,76,2046,609,334,75,49,45.3,0
Jayson Tatum,2022-23,74,2225,649,342,78,51,46.6,0
Jayson Tatum,2023-24,74,1987,601,364,75,43,47.1,0
Jayson Tatum,2024-25,72,1932,623,431,76,38,45.2,0
Jayson Tatum,2025-26,16,348,160,85,22,3,41.1,0
Joel Embiid,2016-17,31,627,243,66,27,76,46.6,0
Joel Embiid,2017-18,63,1445,690,199,40,111,48.3,0
Joel Embiid,2018-19,64,1761,871,234,46,122,48.4,0
Joel Embiid,2019-20,51,1172,593,152,45,65,47.7,0
Joel Embiid,2020-21,51,1451,539,145,50,69,51.3,0
Joel Embiid,2021-22,68,2079,796,284,77,99,49.9,0
Joel Embiid,2022-23,66,2183,670,274,66,112,54.8,0
Joel Embiid,2023-24,39,1353,430,219,46,66,52.9,0
